ORGANIZATION_CODE,template_name,item_SEGMENT1,DESCRIPTION,PRIMARY_UOM_CODE,PURCHASING_ITEM_FLAG,PURCHASING_ENABLED_FLAG,PROCESS_FLAG
SIO,@Product Family,113200,Pears Baby Powder -100g,ECH,Y,Y,N
SIO,@Product Family,113301,Pears Baby Shampoo -120ml,ECH,Y,Y,N
SIO,@Product Family,113126,Pears baby Soap - Floral -75g,ECH,Y,Y,N
SIO,@Product Family,113104,Pears Baby Soap - Herbal -75g,ECH,Y,Y,N
SIO,@Product Family,113103,Pears Baby Soap - Normal -75g,ECH,Y,Y,N
SIO,@Product Family,171657,Pears Baby Soap 100g - Pur & Gentle,ECH,Y,Y,N
SIO,@Product Family,171731,Pears Baby Soap-Floral 100g,ECH,Y,Y,N
SIO,@Product Family,171730,Pears Baby Soap-Herbal 100g,ECH,Y,Y,N
SIO,@Product Family,113376,Pears Baby Sooting Night Time Cream - 100ml,ECH,Y,Y,N
SIO,@Product Family,113377,Pears Baby Sooting Night Time Cream - 200ml,ECH,Y,Y,N
SIO,@Product Family,172079,Pears Bed Time Soap - 100g,ECH,Y,Y,N
SIO,@Product Family,172590,Pears Cologne - Bedtime - 100ml,ECH,Y,Y,N
SIO,@Product Family,115791,Pears cooling Fresh Cologne - Plastic Bottle 120ml,ECH,Y,Y,N
SIO,@Product Family,115795,Pears Cooling Fresh Cologne - Plastic Bottle 50ml,ECH,Y,Y,N
SIO,@Product Family,115796,Pears Floral  Cologne - Plastic Bottle 50ml,ECH,Y,Y,N
SIO,@Product Family,115792,Pears Floral Cologne - Plastic Bottle 120ml,ECH,Y,Y,N
SIO,@Product Family,115798,Pears Magic Drops Cologne - Plastic Bottle 50ml,ECH,Y,Y,N
SIO,@Product Family,115797,Pears Soothing Cologne - Plastic Bottle 50ml,ECH,Y,Y,N
SIO,@Product Family,113250,Rebecca Lee Baby Cologne -100ml,ECH,Y,Y,N
SIO,@Product Family,113259,Rebecca Lee Baby Cologne -50ml,ECH,Y,Y,N
SIO,@Product Family,113352,Rebecca Lee Baby Cream -100ml,ECH,Y,Y,N
SIO,@Product Family,113100,Rebecca Lee Baby Soap -100g,ECH,Y,Y,N
SIO,@Product Family,113202,Rebecca Lee Baby Talc -90g,ECH,Y,Y,N
SIO,@Product Family,171982,Royal Baby Diapers 4s - Large,ECH,Y,Y,N
SIO,@Product Family,171981,Royal Baby Diapers 4s - Medium,ECH,Y,Y,N
SIO,@Product Family,171980,Royal Baby Diapers 4s - Small,ECH,Y,Y,N
SIO,@Product Family,115800,Twinky diapers - 4 S (Medium),ECH,Y,Y,N
SIO,@Product Family,172685,Velona Baby Diapers Jumbo - L,ECH,Y,Y,N
SIO,@Product Family,172684,Velona Baby Diapers Jumbo - M,ECH,Y,Y,N
SIO,@Product Family,172682,Velona Baby Diapers Jumbo - NB,ECH,Y,Y,N
SIO,@Product Family,172683,Velona Baby Diapers Jumbo - S,ECH,Y,Y,N
SIO,@Product Family,172680,VelonaBaby Diapers 4Pcs - L,ECH,Y,Y,N
SIO,@Product Family,172679,VelonaBaby Diapers 4Pcs - M,ECH,Y,Y,N
SIO,@Product Family,172677,VelonaBaby Diapers 4Pcs - Nb,ECH,Y,Y,N
SIO,@Product Family,172678,VelonaBaby Diapers 4Pcs - S,ECH,Y,Y,N
SIO,@Product Family,172681,VelonaBaby Diapers 4Pcs - XL,ECH,Y,Y,N
SIO,@Product Family,171486,Vendol Royal Baby Soap 80g,ECH,Y,Y,N
SIO,@Product Family,171487,Vendol Royal Sandalwood Soap 80g,ECH,Y,Y,N
SIO,@Product Family,172688,Wet Wipes 70 pcs - WF,ECH,Y,Y,N
SIO,@Product Family,102088,Anchor Pedia Pro 1-2 Years - 200g,ECH,Y,Y,N
SIO,@Product Family,102087,Anchor Pedia Pro 1-2 Years - 400g,ECH,Y,Y,N
SIO,@Product Family,102089,Anchor Pedia Pro 2-5 Years - 400g,ECH,Y,Y,N
SIO,@Product Family,171723,Anchor Plus 1-5 Years 400g,ECH,Y,Y,N
SIO,@Product Family,113458,Cerelac - Mixed Fruit with Milk 250g,ECH,Y,Y,N
